index	species	genome build	chromosome	start	end	element #	any activity
176	>Human	Hg19	chr11	31785423	31787226	 element 198 	 negative 
177	>Human	Hg19	chr1	51165195	51166786	 element 200 	 positive  
178	>Human	Hg19	chr1	163939700	163940637	 element 201 	 negative 
179	>Human	Hg19	chr1	164023244	164024214	 element 202 	 negative 
180	>Human	Hg19	chr1	164637575	164639037	 element 203 	 negative 
181	>Human	Hg19	chr1	213597964	213599524	 element 204 	 positive  
182	>Human	Hg19	chr2	66297527	66299214	 element 205 	 positive  
183	>Human	Hg19	chr3	70565242	70566852	 element 206 	 negative 
184	>Human	Hg19	chr3	70871316	70872957	 element 207 	 negative 
185	>Human	Hg19	chr3	136982707	136984175	 element 208 	 positive  
186	>Human	Hg19	chr3	137047544	137049271	 element 209 	 positive  
187	>Human	Hg19	chr3	137067622	137068925	 element 210 	 positive  
188	>Human	Hg19	chr3	137125171	137126977	 element 211 	 negative 
189	>Human	Hg19	chr3	147030229	147031770	 element 212 	 negative 
190	>Human	Hg19	chr3	147049536	147051100	 element 213 	 positive  
191	>Human	Hg19	chr1	243895796	243896468	 element 214 	 negative 
192	>Human	Hg19	chr5	50335050	50336643	 element 215 	 positive  
193	>Human	Hg19	chr6	51076205	51077209	 element 216 	 negative 
194	>Human	Hg19	chr6	51148668	51149710	 element 217 	 positive  
195	>Human	Hg19	chr7	114056847	114058647	 element 218 	 positive  
196	>Human	Hg19	chr7	114062615	114063919	 element 219 	 negative 
197	>Human	Hg19	chr7	114070779	114073266	 element 220 	 negative 
198	>Human	Hg19	chr7	114208952	114210310	 element 221 	 negative 
199	>Human	Hg19	chr7	114295109	114296373	 element 222 	 positive  
200	>Human	Hg19	chr8	65496564	65497586	 element 223 	 negative 
201	>Human	Hg19	chr10	102372214	102374206	 element 224 	 negative 
202	>Human	Hg19	chr10	102374886	102375478	 element 225 	 negative 
203	>Human	Hg19	chr10	102447081	102448985	 element 228 	 negative 
204	>Human	Hg19	chr10	102546590	102548095	 element 229 	 positive  
205	>Human	Hg19	chr5	158340962	158342611	 element 230 	 positive  
206	>Human	Hg19	chr8	25775160	25776669	 element 231 	 negative 
207	>Human	Hg19	chr10	131691086	131692848	 element 232 	 positive  
208	>Human	Hg19	chr12	24291012	24292724	 element 233 	 negative 
209	>Human	Hg19	chr11	31685357	31686884	 element 234 	 positive  
210	>Human	Hg19	chr11	15623970	15625123	 element 235 	 negative 
211	>Human	Hg19	chr11	16316207	16317562	 element 236 	 positive  
212	>Human	Hg19	chr1	38560194	38561606	 element 238 	 positive  
213	>Human	Hg19	chr7	20829390	20830407	 element 239 	 negative 
214	>Human	Hg19	chr9	83727123	83728378	 element 240 	 positive  
215	>Human	Hg19	chr1	10965129	10966144	 element 241 	 positive  
216	>Human	Hg19	chr2	174114371	174115933	 element 242 	 positive  
217	>Human	Hg19	chr2	174985544	174987464	 element 243 	 positive  
218	>Human	Hg19	chr2	174988737	174990363	 element 244 	 positive  
219	>Human	Hg19	chr2	175207310	175208242	 element 245 	 negative 
220	>Human	Hg19	chr2	176940070	176941410	 element 246 	 positive  
221	>Human	Hg19	chr1	51006090	51007314	 element 247 	 negative 
222	>Human	Hg19	chr2	177503157	177503671	 element 248 	 positive  
223	>Human	Hg19	chr2	237071364	237071848	 element 249 	 positive  
224	>Human	Hg19	chr3	18169362	18170237	 element 250 	 positive  
225	>Human	Hg19	chr3	18844368	18845392	 element 251 	 negative 
226	>Human	Hg19	chr3	19033849	19034569	 element 252 	 negative 
227	>Human	Hg19	chr3	114433184	114435415	 element 253 	 positive  
228	>Human	Hg19	chr3	114574745	114576011	 element 254 	 negative 
229	>Human	Hg19	chr3	114611706	114612491	 element 255 	 negative 
230	>Human	Hg19	chr3	157989611	157990466	 element 256 	 negative 
231	>Human	Hg19	chr3	158025746	158027384	 element 257 	 negative 
232	>Human	Hg19	chr3	180436427	180437958	 element 258 	 positive  
233	>Human	Hg19	chr4	13009318	13010327	 element 259 	 positive  
234	>Human	Hg19	chr4	105345575	105346895	 element 260 	 positive  
235	>Human	Hg19	chr5	3511978	3513399	 element 261 	 positive  
236	>Human	Hg19	chr5	76940836	76941396	 element 262 	 positive  
237	>Human	Hg19	chr5	77139721	77140742	 element 263 	 negative 
238	>Human	Hg19	chr5	77147580	77148599	 element 264 	 negative 
239	>Human	Hg19	chr5	77267384	77269206	 element 265 	 negative 
240	>Human	Hg19	chr5	87168414	87169433	 element 266 	 positive  
241	>Human	Hg19	chr5	87239942	87241645	 element 267 	 positive  
242	>Human	Hg19	chr5	87692154	87693265	 element 268 	 positive  
243	>Human	Hg19	chr5	90928612	90929226	 element 269 	 positive  
244	>Human	Hg19	chr1	38801888	38802630	 element 270 	 negative 
245	>Human	Hg19	chr5	93226985	93228322	 element 271 	 positive  
246	>Human	Hg19	chr5	93575407	93576629	 element 272 	 negative 
247	>Human	Hg19	chr5	93649881	93651432	 element 273 	 negative 
248	>Human	Hg19	chr5	167332346	167333651	 element 274 	 negative 
249	>Human	Hg19	chr5	170417337	170418459	 element 275 	 negative 
250	>Human	Hg19	chr1	44715420	44716129	 element 277 	 positive  
251	>Human	Hg19	chr5	170627990	170630018	 element 278 	 positive  
252	>Human	Hg19	chr6	10393875	10395072	 element 279 	 negative 
253	>Human	Hg19	chr1	44989824	44991149	 element 280 	 positive  
254	>Human	Hg19	chr6	41523224	41523677	 element 281 	 positive  
255	>Human	Hg19	chr6	98116085	98116943	 element 282 	 positive  
256	>Human	Hg19	chr6	98362399	98363804	 element 283 	 negative 
257	>Human	Hg19	chr6	98719759	98720510	 element 284 	 positive  
258	>Human	Hg19	chr10	102414915	102415578	 element 285 	 negative 
259	>Human	Hg19	chr10	102419119	102419731	 element 286 	 negative 
260	>Human	Hg19	chr6	98813608	98814940	 element 288 	 negative 
261	>Human	Hg19	chr1	10732070	10733118	 element 289 	 positive  
262	>Human	Hg19	chr6	98995483	98996450	 element 290 	 negative 
263	>Human	Hg19	chr6	100973811	100974593	 element 292 	 negative 
264	>Human	Hg19	chr7	1265154	1266318	 element 293 	 positive  
265	>Human	Hg19	chr7	21811370	21812002	 element 294 	 positive  
266	>Human	Hg19	chr1	49112757	49113363	 element 295 	 negative 
267	>Human	Hg19	chr7	26728697	26729802	 element 296 	 positive  
268	>Human	Hg19	chr7	31401914	31403016	 element 297 	 positive  
269	>Human	Hg19	chr7	96633582	96634303	 element 298 	 positive  
270	>Human	Hg19	chr7	115115427	115117325	 element 299 	 negative 
271	>Human	Hg19	chr7	115133829	115135428	 element 300 	 negative 
272	>Human	Hg19	chr7	115582121	115582622	 element 301 	 negative 
273	>Human	Hg19	chr8	37249594	37251182	 element 302 	 positive  
274	>Human	Hg19	chr8	66148927	66149836	 element 303 	 negative 
275	>Human	Hg19	chr9	8095553	8096166	 element 304 	 positive  
276	>Human	Hg19	chr9	13939547	13940363	 element 305 	 positive  
277	>Human	Hg19	chr9	15874184	15874505	 element 306 	 negative 
278	>Human	Hg19	chr9	16710536	16711184	 element 307 	 positive  
279	>Human	Hg19	chr9	17331971	17332580	 element 308 	 negative 
280	>Human	Hg19	chr9	23496285	23497394	 element 309 	 positive  
281	>Human	Hg19	chr9	37215016	37215775	 element 310 	 negative 
282	>Human	Hg19	chr1	63369349	63370894	 element 311 	 positive  
283	>Human	Hg19	chr9	81471747	81473114	 element 312 	 positive  
284	>Human	Hg19	chr9	81870622	81872224	 element 313 	 positive  
285	>Human	Hg19	chr9	126537718	126539929	 element 314 	 positive  
286	>Human	Hg19	chr9	128583956	128584480	 element 316 	 negative 
287	>Human	Hg19	chr9	128671865	128673002	 element 317 	 negative 
288	>Human	Hg19	chr10	50603805	50605254	 element 318 	 negative 
289	>Human	Hg19	chr10	77138246	77139684	 element 319 	 negative 
290	>Human	Hg19	chr10	77726861	77727618	 element 320 	 positive  
291	>Human	Hg19	chr10	77989996	77991469	 element 321 	 negative 
292	>Human	Hg19	chr1	87821793	87822910	 element 322 	 positive  
293	>Human	Hg19	chr1	88028658	88029378	 element 323 	 negative 
294	>Human	Hg19	chr10	102978822	102979600	 element 324 	 negative 
295	>Human	Hg19	chr10	103266649	103267972	 element 326 	 positive  
296	>Human	Hg19	chr1	88926796	88928508	 element 327 	 positive  
297	>Human	Hg19	chr10	114403685	114404566	 element 328 	 negative 
298	>Human	Hg19	chr10	124851813	124853071	 element 329 	 positive  
299	>Human	Hg19	chr10	126905322	126906003	 element 330 	 positive  
300	>Human	Hg19	chr10	131445787	131447685	 element 331 	 negative 
301	>Human	Hg19	chr11	8317705	8318230	 element 333 	 negative 
302	>Human	Hg19	chr11	116232556	116233265	 element 334 	 negative 
303	>Human	Hg19	chr11	131867949	131868377	 element 335 	 positive  
304	>Human	Hg19	chr12	16715315	16716360	 element 336 	 positive  
305	>Human	Hg19	chr12	41749027	41749727	 element 337 	 negative 
306	>Human	Hg19	chr12	54090636	54091341	 element 338 	 negative 
307	>Human	Hg19	chr13	72063376	72063816	 element 339 	 negative 
308	>Human	Hg19	chr13	72256090	72256838	 element 340 	 negative 
309	>Human	Hg19	chr13	95618464	95619819	 element 341 	 positive  
310	>Human	Hg19	chr14	29860529	29862348	 element 342 	 positive  
311	>Human	Hg19	chr14	30712025	30713336	 element 343 	 negative 
312	>Human	Hg19	chr14	34068299	34069069	 element 345 	 negative 
313	>Human	Hg19	chr14	34122328	34123032	 element 346 	 negative 
314	>Human	Hg19	chr14	34202106	34203129	 element 347 	 negative 
315	>Human	Hg19	chr14	36020024	36020998	 element 348 	 positive  
316	>Human	Hg19	chr14	36042961	36043666	 element 349 	 negative 
317	>Human	Hg19	chr14	36581685	36583834	 element 350 	 negative 
318	>Human	Hg19	chr11	61311775	61314751	 element 351 	 negative 
319	>Human	Hg19	chr14	97762544	97763744	 element 352 	 negative 
320	>Human	Hg19	chr14	97879188	97880071	 element 353 	 negative 
321	>Human	Hg19	chr15	35918719	35919621	 element 354 	 negative 
322	>Human	Hg19	chr15	36819021	36820695	 element 355 	 positive  
323	>Human	Hg19	chr15	37521824	37522951	 element 356 	 negative 
324	>Human	Hg19	chr15	57425244	57425958	 element 357 	 positive  
325	>Human	Hg19	chr15	67665164	67665685	 element 358 	 positive  
326	>Human	Hg19	chr15	70391576	70392613	 element 359 	 positive  
327	>Human	Hg19	chr1	10757664	10758631	 element 361 	 negative 
328	>Human	Hg19	chr17	35011848	35012557	 element 362 	 positive  
329	>Human	Hg19	chr17	35329349	35329944	 element 363 	 positive  
330	>Human	Hg19	chr17	35336093	35337226	 element 364 	 negative 
331	>Human	Hg19	chr1	215888921	215890374	 element 366 	 negative 
332	>Human	Hg19	chr18	22692416	22693640	 element 367 	 positive  
333	>Human	Hg19	chr18	22755741	22757347	 element 368 	 negative 
334	>Human	Hg19	chr18	22864753	22866457	 element 369 	 positive  
335	>Human	Hg19	chr18	34480079	34481120	 element 370 	 negative 
336	>Human	Hg19	chr18	35063482	35064528	 element 371 	 positive  
337	>Human	Hg19	chr18	35178249	35179130	 element 372 	 negative 
338	>Human	Hg19	chr18	35564526	35565346	 element 373 	 negative 
339	>Human	Hg19	chr18	36062696	36063956	 element 374 	 negative 
340	>Human	Hg19	chr18	44770271	44771284	 element 375 	 negative 
341	>Human	Hg19	chr18	53089625	53091079	 element 376 	 positive  
342	>Human	Hg19	chr18	72357475	72358333	 element 378 	 positive  
343	>Human	Hg19	chr18	72362520	72364210	 element 379 	 negative 
344	>Human	Hg19	chr19	30494614	30495503	 element 381 	 positive  
345	>Human	Hg19	chr19	30565950	30567016	 element 382 	 positive  
346	>Human	Hg19	chr19	30767058	30768273	 element 383 	 positive  
347	>Human	Hg19	chr19	31002941	31004262	 element 384 	 positive  
348	>Human	Hg19	chr19	31587058	31588070	 element 385 	 positive  
349	>Human	Hg19	chr19	31806450	31807052	 element 386 	 negative 
350	>Human	Hg19	chr2	7774393	7775070	 element 388 	 positive  
351	>Human	Hg19	chr1	10781239	10781744	 element 389 	 positive  
352	>Human	Hg19	chr2	57972375	57973175	 element 390 	 negative 
353	>Human	Hg19	chr2	59108123	59108845	 element 391 	 negative 
354	>Human	Hg19	chr2	59133026	59134590	 element 392 	 negative 
355	>Human	Hg19	chr2	59198905	59200529	 element 393 	 positive  
356	>Human	Hg19	chr2	59746377	59746992	 element 394 	 positive  
357	>Human	Hg19	chr2	59947272	59948294	 element 395 	 negative 
358	>Human	Hg19	chr2	60137953	60139763	 element 396 	 negative 
359	>Human	Hg19	chr2	60297377	60299041	 element 397 	 negative 
360	>Human	Hg19	chr2	60441495	60442515	 element 399 	 positive  
361	>Human	Hg19	chr2	73174800	73175769	 element 400 	 negative 
362	>Human	Hg19	chr2	104736518	104737365	 element 401 	 positive  
363	>Human	Hg19	chr2	143914409	143915473	 element 402 	 negative 
364	>Human	Hg19	chr2	144111861	144112818	 element 403 	 negative 
365	>Human	Hg19	chr2	144712189	144713913	 element 404 	 negative 
366	>Human	Hg19	chr2	145188099	145189812	 element 407 	 positive  
367	>Human	Hg19	chr1	10851570	10852173	 element 408 	 positive  
368	>Human	Hg19	chr2	145200646	145201413	 element 409 	 negative 
369	>Human	Hg19	chr2	147133970	147134751	 element 410 	 negative 
370	>Human	Hg19	chr2	156726581	156727605	 element 411 	 positive  
371	>Human	Hg19	chr2	156991360	156992132	 element 412 	 negative 
372	>Human	Hg19	chr2	157551014	157551952	 element 413 	 positive  
373	>Human	Hg19	chr2	157659848	157660720	 element 414 	 negative 
374	>Human	Hg19	chr2	157899792	157900721	 element 415 	 positive  
375	>Human	Hg19	chr2	162094895	162095451	 element 416 	 positive  
376	>Human	Hg19	chr1	10925202	10925728	 element 417 	 negative 
377	>Human	Hg19	chr2	164661606	164662430	 element 420 	 negative 
378	>Human	Hg19	chr2	164843797	164844783	 element 421 	 positive  
379	>Human	Hg19	chr2	172955879	172957052	 element 422 	 positive  
380	>Human	Hg19	chr2	172957645	172959046	 element 423 	 negative 
381	>Human	Hg19	chr4	111914861	111917609	 element 424 	 negative 
382	>Human	Hg19	chr8	105961524	105963694	 element 425 	 negative 
383	>Human	Hg19	chrX	81788884	81790571	 element 426 	 positive  
384	>Human	Hg19	chrX	139169379	139171545	 element 427 	 positive  
385	>Human	Hg19	chr14	26377372	26378803	 element 428 	 positive  
386	>Human	Hg19	chr5	88179457	88179988	 element 429 	 negative 
387	>Human	Hg19	chr19	30840299	30843536	 element 430 	 positive  
388	>Human	Hg19	chr13	71793642	71794373	 element 431 	 negative 
389	>Human	Hg19	chr13	72668699	72669457	 element 432 	 negative 
390	>Human	Hg19	chr14	30741750	30743626	 element 433 	 positive  
391	>Human	Hg19	chr3	62350726	62351718	 element 434 	 positive  
392	>Human	Hg19	chr3	62359866	62360569	 element 435 	 positive  
393	>Human	Hg19	chr1	82557436	82558140	 element 436 	 negative 
394	>Human	Hg19	chr1	82663553	82664196	 element 437 	 negative 
395	>Human	Hg19	chr1	82664608	82665419	 element 438 	 negative 
396	>Human	Hg19	chr1	83220709	83221363	 element 439 	 negative 
397	>Human	Hg19	chr1	83252219	83253218	 element 440 	 negative 
398	>Human	Hg19	chr1	83310680	83311769	 element 441 	 negative 
399	>Human	Hg19	chr1	83345366	83346271	 element 442 	 positive  
400	>Human	Hg19	chr1	83360512	83361298	 element 443 	 negative 
401	>Human	Hg19	chr1	83411289	83412040	 element 444 	 negative 
402	>Human	Hg19	chr1	83878319	83879217	 element 445 	 negative 
403	>Human	Hg19	chr7	35454800	35456218	 element 461 	 positive  
404	>Human	Hg19	chr7	35505184	35506342	 element 463 	 positive  
405	>Human	Hg19	chr7	35320121	35321085	 element 464 	 negative 
406	>Human	Hg19	chr7	35590614	35591629	 element 465 	 negative 
407	>Human	Hg19	chr7	35268514	35269380	 element 466 	 positive  
408	>Human	Hg19	chr7	35275271	35276121	 element 467 	 negative 
409	>Human	Hg19	chr7	35331175	35332120	 element 468 	 negative 
410	>Human	Hg19	chr7	35359004	35359854	 element 469 	 negative 
